日總雨量(毫米) - 天文台
Daily Total Rainfall (mm) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,8,5,0.0,C
2026,8,6,0.0,C
2026,8,7,0.0,C
2026,8,8,0.0,C
2026,8,9,0.0,C
2026,8,10,0.0,C
2026,8,11,0.0,C
2026,8,12,0.0,C
2026,8,13,Trace,C
2026,8,14,43.4,C
2026,8,15,7.9,C
2026,8,16,0.0,C
2026,8,17,4.4,C
2026,8,18,2.0,C
2026,8,19,1.9,C
2026,8,20,28.6,C
2026,8,21,6.6,C
2026,8,22,10.0,C
2026,8,23,0.2,C
2026,8,24,4.3,C
2026,8,25,1.7,C
2026,8,26,33.5,C
2026,8,27,85.0,C
2026,8,28,Trace,C
2026,8,29,0.8,C
2026,8,30,0.1,C
2026,8,31,25.0,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
微量表示少於 0.05 毫米/Trace means rainfall less than 0.05 mm
C 數據完整/data Complete
